Project,Issue_id,Comment id,Jira URL,Label,Theme (Code),Theme (Coder 2),Theme (Coder 3)
HDFS,HDFS-7438,14230844,https://issues.apache.org/jira/browse/HDFS-7438,1,Unknown,Configuration-related Issues,Unknown
HDFS,HDFS-7543,14251093,https://issues.apache.org/jira/browse/HDFS-7543,1,Unknown,Unknown,Configuration-related Issues
HDFS,HDFS-7776,14317616,https://issues.apache.org/jira/browse/HDFS-7776,1,Unknown,Configuration-related Issues,Unknown
HDFS,HDFS-7814,14328552,https://issues.apache.org/jira/browse/HDFS-7814,1,Unknown,Unknown,Unknown
HDFS,HDFS-7944,14366263,https://issues.apache.org/jira/browse/HDFS-7944,1,Unknown,Unknown,Unknown
HDFS,HDFS-9485,15032950,https://issues.apache.org/jira/browse/HDFS-9485,1,Unknown,Unknown,Unknown
HDFS,HDFS-9525,15003608,https://issues.apache.org/jira/browse/HDFS-9525,1,Unknown,External Interference,Unknown
HDFS,HDFS-9580,15067202,https://issues.apache.org/jira/browse/HDFS-9580,1,Unknown,Unknown,Unknown
HDFS,HDFS-9655,15103465,https://issues.apache.org/jira/browse/HDFS-9655,1,Unknown,Unknown,Unknown
HDFS,HDFS-9830,15152794,https://issues.apache.org/jira/browse/HDFS-9830,1,Unknown,Unknown,Unknown
HIVE,HIVE-10006,14368958,https://issues.apache.org/jira/browse/HIVE-10006,1,Unknown,Unknown,Unknown
HIVE,HIVE-10062,14491817,https://issues.apache.org/jira/browse/HIVE-10062,1,Unknown,Unknown,Unrelated Tests
HIVE,HIVE-10481,14511977,https://issues.apache.org/jira/browse/HIVE-10481,1,Unknown,Configuration-related Issues,Unrelated Tests
HIVE,HIVE-10495,14514202,https://issues.apache.org/jira/browse/HIVE-10495,1,Unknown,Unknown,Unknown
HIVE,HIVE-10499,14515076,https://issues.apache.org/jira/browse/HIVE-10499,1,Unknown,Unknown,Unknown
HIVE,HIVE-10563,14543085,https://issues.apache.org/jira/browse/HIVE-10563,1,Unknown,Unknown,Unknown
HIVE,HIVE-10687,14540678,https://issues.apache.org/jira/browse/HIVE-10687,1,Unknown,Unknown,Unknown
HIVE,HIVE-10853,14565906,https://issues.apache.org/jira/browse/HIVE-10853,1,Unknown,Unknown,Unknown
HIVE,HIVE-11108,14606938,https://issues.apache.org/jira/browse/HIVE-11108,1,Unknown,Unknown,Unknown
HIVE,HIVE-12045,15015267,https://issues.apache.org/jira/browse/HIVE-12045,1,Unknown,Unknown,Unknown
HIVE,HIVE-12788,15091878,https://issues.apache.org/jira/browse/HIVE-12788,1,Unknown,Unrelated Tests,Unknown
HIVE,HIVE-12987,15137420,https://issues.apache.org/jira/browse/HIVE-12987,1,Unknown,External Interference,Non-reproducible
HIVE,HIVE-13213,15184650,https://issues.apache.org/jira/browse/HIVE-13213,1,Unknown,Unknown,Unknown
HIVE,HIVE-13258,15375167,https://issues.apache.org/jira/browse/HIVE-13258,1,Unknown,Unknown,Unknown
HIVE,HIVE-14067,15381313,https://issues.apache.org/jira/browse/HIVE-14067,1,Unknown,Unknown,Unknown
HIVE,HIVE-14224,15384575,https://issues.apache.org/jira/browse/HIVE-14224,1,Unknown,Unknown,Unknown
HIVE,HIVE-14262,15383270,https://issues.apache.org/jira/browse/HIVE-14262,1,Unknown,Unknown,Unknown
HIVE,HIVE-14359,15398557,https://issues.apache.org/jira/browse/HIVE-14359,1,Unknown,Unknown,Unknown
HIVE,HIVE-14607,15454670,https://issues.apache.org/jira/browse/HIVE-14607,1,Unknown,Environment Impact,Unknown
HIVE,HIVE-14626,15470771,https://issues.apache.org/jira/browse/HIVE-14626,1,Unknown,Unknown,Unknown
HIVE,HIVE-15137,15658495,https://issues.apache.org/jira/browse/HIVE-15137,1,Unknown,Unknown,Environment Impact
HIVE,HIVE-15171,15655160,https://issues.apache.org/jira/browse/HIVE-15171,1,Unknown,Unknown,Unknown
HIVE,HIVE-15410,15735970,https://issues.apache.org/jira/browse/HIVE-15410,1,Unknown,Unknown,Unknown
HIVE,HIVE-15765,15850436,https://issues.apache.org/jira/browse/HIVE-15765,1,Unknown,Unknown,Unknown
HIVE,HIVE-15840,15857143,https://issues.apache.org/jira/browse/HIVE-15840,1,Unknown,Unknown,Unknown
HIVE,HIVE-6625,13943274,https://issues.apache.org/jira/browse/HIVE-6625,1,Unknown,Unknown,Unknown
HIVE,HIVE-8390,14168637,https://issues.apache.org/jira/browse/HIVE-8390,1,Unknown,Unknown,Non-reproducible
HIVE,HIVE-9558,14486670,https://issues.apache.org/jira/browse/HIVE-9558,1,Unknown,External Interference,Unknown
HIVE,HIVE-9609,14485034,https://issues.apache.org/jira/browse/HIVE-9609,1,Unknown,Unknown,Unknown
YARN,YARN-10043,17018630,https://issues.apache.org/jira/browse/YARN-10043,1,Unknown,Unknown,Unknown
YARN,YARN-2247,14063774,https://issues.apache.org/jira/browse/YARN-2247,1,Unknown,Unknown,Unknown
YARN,YARN-2970,14257463,https://issues.apache.org/jira/browse/YARN-2970,1,Unknown,Unknown,Unknown
YARN,YARN-3533,14508485,https://issues.apache.org/jira/browse/YARN-3533,1,Unknown,Unknown,Unknown
YARN,YARN-5213,15383336,https://issues.apache.org/jira/browse/YARN-5213,1,Unknown,Unknown,Non-reproducible
YARN,YARN-5327,15404966,https://issues.apache.org/jira/browse/YARN-5327,1,Unknown,Unknown,Unknown
