dropout,f1,recall,model,iteration
3,1.0,1.0,PULearning,11
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,12
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,13
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,14
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,15
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,16
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,17
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,18
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,19
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,20
3,0.8,0.6666666666666666,RandomForest,0
3,1.0,1.0,PULearning,21
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,22
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,23
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,24
3,0.5,0.3333333333333333,RandomForest,3
3,1.0,1.0,PULearning,25
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,26
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,27
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,28
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,29
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,30
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,31
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,32
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,33
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,34
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,35
3,0.8,0.6666666666666666,RandomForest,0
3,1.0,1.0,PULearning,36
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,37
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,38
3,0.0,0.0,RandomForest,1
3,1.0,1.0,PULearning,39
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,40
3,0.0,0.0,RandomForest,0
3,1.0,1.0,PULearning,41
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,42
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,43
3,0.8,0.6666666666666666,RandomForest,20
3,1.0,1.0,PULearning,44
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,45
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,46
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,47
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,48
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,49
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,50
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,51
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,52
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,53
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,54
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,55
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,56
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,57
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,58
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,59
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,60
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,61
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,62
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,63
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,64
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,65
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,66
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,67
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,68
3,0.8,0.6666666666666666,RandomForest,20
3,1.0,1.0,PULearning,69
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,70
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,71
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,72
3,0.8,0.6666666666666666,RandomForest,20
3,1.0,1.0,PULearning,73
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,74
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,75
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,76
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,77
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,78
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,79
3,0.8,0.6666666666666666,RandomForest,0
3,1.0,1.0,PULearning,80
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,81
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,82
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,83
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,84
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,85
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,86
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,87
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,88
3,0.5,0.3333333333333333,RandomForest,2
3,1.0,1.0,PULearning,89
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,90
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,91
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,92
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,93
3,0.8,0.6666666666666666,RandomForest,20
3,1.0,1.0,PULearning,94
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,95
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,96
3,0.8,0.6666666666666666,RandomForest,20
3,1.0,1.0,PULearning,97
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,98
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,99
3,0.5,0.3333333333333333,RandomForest,20
4,1.0,1.0,PULearning,0
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,1
4,0.4,0.25,RandomForest,1
4,0.8571428571428571,0.75,PULearning,2
4,0.4,0.25,RandomForest,0
4,0.8571428571428571,0.75,PULearning,3
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,4
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,5
4,0.4,0.25,RandomForest,1
4,1.0,1.0,PULearning,6
4,0.6666666666666666,0.5,RandomForest,0
4,0.8571428571428571,0.75,PULearning,7
