dropout,f1,recall,model,iteration
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,90
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,91
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,92
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,93
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,94
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,95
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,96
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,97
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,98
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,99
3,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,0
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,1
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,2
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,3
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,4
4,0.0,0.0,RandomForest,0
4,1.0,1.0,PULearning,5
4,0.0,0.0,RandomForest,0
4,1.0,1.0,PULearning,6
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,7
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,8
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,9
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,10
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,11
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,12
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,13
4,0.0,0.0,RandomForest,1
4,0.4,0.25,PULearning,14
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,15
4,0.0,0.0,RandomForest,0
4,1.0,1.0,PULearning,16
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,17
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,18
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,19
4,0.0,0.0,RandomForest,0
4,1.0,1.0,PULearning,20
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,21
4,0.0,0.0,RandomForest,1
4,0.4,0.25,PULearning,22
4,0.0,0.0,RandomForest,1
4,0.6666666666666666,0.5,PULearning,23
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,24
4,0.0,0.0,RandomForest,0
4,0.4,0.25,PULearning,25
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,26
4,0.0,0.0,RandomForest,1
4,0.8571428571428571,0.75,PULearning,27
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,28
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,29
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,30
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,31
4,0.0,0.0,RandomForest,1
4,0.6666666666666666,0.5,PULearning,32
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,33
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,34
4,0.0,0.0,RandomForest,1
4,0.6666666666666666,0.5,PULearning,35
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,36
4,0.0,0.0,RandomForest,1
4,0.8571428571428571,0.75,PULearning,37
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,38
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,39
4,0.0,0.0,RandomForest,0
4,1.0,1.0,PULearning,40
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,41
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,42
4,0.0,0.0,RandomForest,1
4,0.6666666666666666,0.5,PULearning,43
4,0.0,0.0,RandomForest,0
4,1.0,1.0,PULearning,44
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,45
4,0.0,0.0,RandomForest,1
4,0.8571428571428571,0.75,PULearning,46
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,47
4,0.0,0.0,RandomForest,0
4,0.6666666666666666,0.5,PULearning,48
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,49
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,50
4,0.0,0.0,RandomForest,1
4,0.8571428571428571,0.75,PULearning,51
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,52
4,0.0,0.0,RandomForest,0
4,1.0,1.0,PULearning,53
4,0.0,0.0,RandomForest,1
4,0.8571428571428571,0.75,PULearning,54
4,0.0,0.0,RandomForest,0
