pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified,label,label_reason
44999,https://github.com/keycloak/keycloak/pull/44999,58569329738,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20379038042/job/58569329738,4089222701a11025d7cf0cb332a6d0bf90a2089c,2025-12-19T19:30:12Z,2025-12-19T19:30:21Z,2025-12-18T13:30:59Z,sguilhen,False,0,14,1,1.2494560185185186,True,False,0,False,0,0,0,0,True,5,58,34,92,N,No clear unrelated indicator
42858,https://github.com/keycloak/keycloak/pull/42858,52512769762,Status Check - Keycloak Guides,https://github.com/keycloak/keycloak/actions/runs/18428478052/job/52512769762,d27440cd4a57e79ba975e2df10881e90047b596e,2025-10-11T10:56:10Z,2025-10-11T10:56:17Z,2025-09-23T08:36:12Z,forkimenjeckayang,False,2,1,23,18.09719907407408,True,False,0,True,25,611,502,1113,True,17,231,55,286,Q,"Retry succeeded (same commit, no new code)"
44228,https://github.com/keycloak/keycloak/pull/44228,55465332481,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/19383097830/job/55465332481,33731b49c513ba70f833fac7591e0cb6b03fe263,2025-11-15T02:35:00Z,2025-11-15T02:35:08Z,2025-11-14T13:07:19Z,sguilhen,False,0,0,1,0.5608912037037037,True,False,0,False,0,0,0,0,True,21,622,302,924,Q,"Retry succeeded (same commit, no new code)"
44755,https://github.com/keycloak/keycloak/pull/44755,57824679881,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20137673505/job/57824679881,e59ee99888668dfbb62e06d2c35a92cc120f8a51,2025-12-11T19:51:46Z,2025-12-11T19:52:10Z,2025-12-08T17:31:09Z,ahus1,False,0,21,1,3.097650462962963,False,False,0,False,0,0,0,0,False,0,0,0,0,N,No clear unrelated indicator
44995,https://github.com/keycloak/keycloak/pull/44995,58440220708,External Infinispan IT (clusterless),https://github.com/keycloak/keycloak/actions/runs/20340899282/job/58440220708,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T14:54:36Z,2025-12-18T15:00:31Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.1168634259259259,False,False,0,False,0,0,0,0,True,5,9,5,14,N,No clear unrelated indicator
44866,https://github.com/keycloak/keycloak/pull/44866,58314981096,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20301486645/job/58314981096,16aec2b00df38a61379c3a7d3ab6946e4e83b629,2025-12-17T12:57:09Z,2025-12-17T12:57:19Z,2025-12-11T21:59:36Z,pedroigor,False,0,5,0,5.623298611111111,False,False,0,False,0,0,0,0,True,14,388,103,491,N,No clear unrelated indicator
44755,https://github.com/keycloak/keycloak/pull/44755,57833488260,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/20137673510/job/57833488260,e59ee99888668dfbb62e06d2c35a92cc120f8a51,2025-12-11T21:28:11Z,2025-12-11T21:28:30Z,2025-12-08T17:31:09Z,ahus1,False,0,21,1,3.1646064814814814,False,False,0,False,0,0,0,0,False,0,0,0,0,N,No clear unrelated indicator
44228,https://github.com/keycloak/keycloak/pull/44228,55465332475,Status Check - CodeQL,https://github.com/keycloak/keycloak/actions/runs/19383097833/job/55465332475,33731b49c513ba70f833fac7591e0cb6b03fe263,2025-11-15T02:35:00Z,2025-11-15T02:35:08Z,2025-11-14T13:07:19Z,sguilhen,False,0,0,1,0.5608912037037037,True,False,0,False,0,0,0,0,True,21,622,302,924,Q,"Retry succeeded (same commit, no new code)"
43184,https://github.com/keycloak/keycloak/pull/43184,52050380061,Store IT (mssql),https://github.com/keycloak/keycloak/actions/runs/18282843512/job/52050380061,d26266554002063693a3ae7924e782a0eeee2fd9,2025-10-06T13:44:41Z,2025-10-06T14:14:52Z,2025-10-03T08:15:55Z,lhanusov,False,1,12,1,3.228310185185185,True,False,0,False,0,0,0,0,True,1,5,1,6,Q,CI runner error
44225,https://github.com/keycloak/keycloak/pull/44225,55406584711,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/19364494349/job/55406584711,18ffe673cbe487e895a1ca70d7f922f19c47afc5,2025-11-14T12:55:46Z,2025-11-14T12:55:54Z,2025-11-14T12:24:25Z,ahus1,False,1,24,1,0.0217708333333333,False,False,0,False,0,0,0,0,True,1,16,5,21,N,No clear unrelated indicator
44897,https://github.com/keycloak/keycloak/pull/44897,58630172817,External links check,https://github.com/keycloak/keycloak/actions/runs/20403770440/job/58630172817,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:03:25Z,2025-12-21T03:06:19Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.000243055555556,False,True,62,True,15,105,105,210,False,0,0,0,0,Q,Infrastructure job: External links check
44373,https://github.com/keycloak/keycloak/pull/44373,56027353708,AuroraDB IT,https://github.com/keycloak/keycloak/actions/runs/19565772113/job/56027353708,90eed7d526445b4aa5a13bc8ebcc660d892d92fe,2025-11-21T09:17:40Z,2025-11-21T11:00:23Z,2025-11-21T09:00:54Z,vaceksimon,False,1,15,1,0.0116435185185185,False,True,15,True,2,38,46,84,False,0,0,0,0,Q,Shared error with 15 similar failure(s)
43229,https://github.com/keycloak/keycloak/pull/43229,52100420736,UI Shared,https://github.com/keycloak/keycloak/actions/runs/18298052720/job/52100420736,75936d35f9bd011f171b74c65fcbb435adf632ab,2025-10-07T00:15:32Z,2025-10-07T00:16:11Z,2025-10-07T00:15:08Z,dependabot[bot],False,1,14,0,0.0002777777777777,False,False,0,True,2,65,65,130,False,0,0,0,0,N,No clear unrelated indicator
44228,https://github.com/keycloak/keycloak/pull/44228,55465332601,Status Check - Keycloak Documentation,https://github.com/keycloak/keycloak/actions/runs/19383097844/job/55465332601,33731b49c513ba70f833fac7591e0cb6b03fe263,2025-11-15T02:35:00Z,2025-11-15T02:35:08Z,2025-11-14T13:07:19Z,sguilhen,False,0,0,1,0.5608912037037037,True,False,0,False,0,0,0,0,True,21,622,302,924,Q,"Retry succeeded (same commit, no new code)"
43842,https://github.com/keycloak/keycloak/pull/43842,54032793515,"Quarkus IT (ubuntu-latest, container, true)",https://github.com/keycloak/keycloak/actions/runs/18925807844/job/54032793515,e6b473f6edad52e567780ea7b4054b37fdae9307,2025-10-30T00:24:39Z,2025-10-30T00:43:59Z,2025-10-30T11:48:17Z,mabartos,False,0,21,0,0.0,False,True,2,True,3,12,9,21,False,0,0,0,0,Q,Shared error with 2 similar failure(s)
43892,https://github.com/keycloak/keycloak/pull/43892,54348465413,Store IT (postgres),https://github.com/keycloak/keycloak/actions/runs/19032005071/job/54348465413,66c76e4ed7834f01754be8624e9cb530aa8f3f94,2025-11-03T10:56:18Z,2025-11-03T11:23:36Z,2025-11-03T07:38:33Z,keshavprashantdeshpande,False,0,12,0,0.1373263888888889,False,True,2,True,1,8,0,8,True,4,134,13,147,Q,Shared error with 2 similar failure(s)
