pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified
45012,https://github.com/keycloak/keycloak/pull/45012,58450519180,Test local apiserver,https://github.com/keycloak/keycloak/actions/runs/20343723516/job/58450519180,d31e5ddd9c080e8a5e97fa2dcdc6cc1765f6470b,2025-12-18T16:28:37Z,2025-12-18T16:34:46Z,2025-12-18T16:24:06Z,vaceksimon,False,0,22,0,0.003136574074074074,False,True,33,True,1,36,32,68,True,3,34,8,42
45012,https://github.com/keycloak/keycloak/pull/45012,58453262786,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20343723516/job/58453262786,d31e5ddd9c080e8a5e97fa2dcdc6cc1765f6470b,2025-12-18T16:55:39Z,2025-12-18T16:55:47Z,2025-12-18T16:24:06Z,vaceksimon,False,0,22,0,0.021909722222222223,False,False,0,True,1,36,32,68,True,3,34,8,42
43950,https://github.com/keycloak/keycloak/pull/43950,58433069288,Test local apiserver,https://github.com/keycloak/keycloak/actions/runs/20338945013/job/58433069288,9be27defd7777af516cbce7e1c2fcd17f2e1589c,2025-12-18T13:46:54Z,2025-12-18T13:53:39Z,2025-11-04T23:28:36Z,thomasdarimont,False,0,22,2,43.596041666666665,True,True,28,False,0,0,0,0,True,18,141,136,277
43950,https://github.com/keycloak/keycloak/pull/43950,58433069292,Test remote (fast),https://github.com/keycloak/keycloak/actions/runs/20338945013/job/58433069292,9be27defd7777af516cbce7e1c2fcd17f2e1589c,2025-12-18T13:46:51Z,2025-12-18T14:18:39Z,2025-11-04T23:28:36Z,thomasdarimont,False,0,22,2,43.59600694444445,True,True,27,False,0,0,0,0,True,18,141,136,277
43950,https://github.com/keycloak/keycloak/pull/43950,58436355121,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20338945013/job/58436355121,9be27defd7777af516cbce7e1c2fcd17f2e1589c,2025-12-18T14:18:41Z,2025-12-18T14:18:49Z,2025-11-04T23:28:36Z,thomasdarimont,False,0,22,2,43.61811342592593,True,False,0,False,0,0,0,0,True,18,141,136,277
44989,https://github.com/keycloak/keycloak/pull/44989,58417286383,label,https://github.com/keycloak/keycloak/actions/runs/20334408704/job/58417286383,6c6c54051977b81bb7ce4bc17b926e93ca58febf,2025-12-18T10:48:28Z,2025-12-18T10:48:34Z,2025-12-18T10:20:42Z,vaceksimon,False,0,22,0,0.019282407407407408,False,False,0,True,1,1,1,2,False,0,0,0,0
44989,https://github.com/keycloak/keycloak/pull/44989,58415318234,"Java Distribution IT/UT (ubuntu-latest, temurin, 25)",https://github.com/keycloak/keycloak/actions/runs/20333676199/job/58415318234,6c6c54051977b81bb7ce4bc17b926e93ca58febf,2025-12-18T10:26:04Z,2025-12-18T10:32:04Z,2025-12-18T10:20:42Z,vaceksimon,False,0,22,0,0.003726851851851852,False,False,0,True,1,1,1,2,False,0,0,0,0
44989,https://github.com/keycloak/keycloak/pull/44989,58420205990,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20333676199/job/58420205990,6c6c54051977b81bb7ce4bc17b926e93ca58febf,2025-12-18T11:22:03Z,2025-12-18T11:22:10Z,2025-12-18T10:20:42Z,vaceksimon,False,0,22,0,0.042604166666666665,False,False,0,True,1,1,1,2,False,0,0,0,0
43581,https://github.com/keycloak/keycloak/pull/43581,53159724815,FIPS IT (strict),https://github.com/keycloak/keycloak/actions/runs/18648023996/job/53159724815,3cee2c94c765a05ca90cb5f3deb262e97aebaf97,2025-10-20T09:39:46Z,2025-10-20T09:40:50Z,2025-10-17T14:03:11Z,vaceksimon,True,1,9,0,2.8170717592592593,True,False,0,False,0,0,0,0,True,7,337,246,583
43581,https://github.com/keycloak/keycloak/pull/43581,53164708565,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/18648023996/job/53164708565,3cee2c94c765a05ca90cb5f3deb262e97aebaf97,2025-10-20T10:51:07Z,2025-10-20T10:51:16Z,2025-10-17T14:03:11Z,vaceksimon,True,1,9,0,2.8666203703703705,True,False,0,False,0,0,0,0,True,7,337,246,583
